mentee_id,post_id,requirement_coverage_score,requirement_overlap_score,required_skill_level_match_score,matched_required_skill_count,missing_required_skill_count,program_popularity_log,program_difficulty_score,is_open,is_available,spots_left,target_level_num,required_education_num,target_level_gap,education_level_gap,target_level_pass,education_level_pass,target_level_exact_match,education_level_exact_match,minimum_requirement_exact_match,minimum_requirement_above_minimum,eligibility_pass,candidate_pre_score,target_level_distance,target_level_softness,education_distance,education_softness,skill_level_compatibility,overall_eligibility_softness,compatibility_confidence_band,cf_score,cf_confidence,time_split,label,label_weight,hardness_score
13,43,0.375,0.375,1.0,3,0,2.70805020110221,2.0,1,1,7,2,1,0,0,1,1,1,1,1,0,1,0.8103883534435544,0,1.0,0,1.0,0.5,0.5,stretch_fit,0.8578680022249994,1.0,train,1,0.95,0.0
13,768,0.375,0.375,1.0,3,0,2.1972245773362196,1.7333333333333334,1,1,8,2,1,0,0,1,1,1,1,1,0,1,0.7625578235872806,0,1.0,0,1.0,0.5,0.5,stretch_fit,0.247423350950912,1.0,train,0,1.0,0.5700057823587281
13,2226,0.375,0.375,1.0,3,0,2.6390573296152584,1.6,1,1,8,2,2,0,-1,1,0,1,0,0,0,0,0.7586172714230643,0,1.0,1,0.8,0.5,0.5,stretch_fit,0.2900889040042324,1.0,train,0,1.0,0.5696117271423065
13,2847,0.375,0.375,1.0,3,0,2.0794415416798357,1.6,1,1,4,2,2,0,-1,1,0,1,0,0,0,0,0.7026556926295221,0,1.0,1,0.8,0.5,0.5,stretch_fit,0.8405257901600196,1.0,train,0,1.0,0.5640155692629523
13,2946,0.375,0.375,1.0,3,0,1.9459101490553132,1.8666666666666667,1,1,6,2,2,0,-1,1,0,1,0,0,0,0,0.6857247358357639,0,1.0,1,0.8,0.5,0.5,stretch_fit,0.4306434811467365,1.0,train,0,1.0,0.5623224735835765
13,1896,0.375,0.375,1.0,3,0,1.6094379124341003,1.1333333333333333,1,1,8,1,2,1,-1,1,0,0,0,0,0,0,0.6640687912434101,1,0.75,1,0.8,0.5,0.5,stretch_fit,0.769123254633721,1.0,train,0,1.0,0.560156879124341
13,2958,0.375,0.375,1.0,3,0,1.6094379124341003,1.8666666666666667,1,1,8,2,3,0,-2,1,0,1,0,0,0,0,0.6520775121736426,0,1.0,2,0.6,0.5,0.5,stretch_fit,0.8941084978464908,1.0,train,0,1.0,0.5589577512173642
13,1605,0.375,0.375,1.0,3,0,1.6094379124341003,2.0,1,1,4,2,2,0,-1,1,0,1,0,0,0,0,0.6505271245767434,0,1.0,1,0.8,0.5,0.5,stretch_fit,0.9245269372839571,1.0,train,0,1.0,0.5588027124576743
13,327,0.375,0.375,1.0,3,0,1.3862943611198906,1.1333333333333333,1,1,6,1,1,1,0,1,1,0,1,0,1,1,0.6417544361119891,1,0.75,0,1.0,0.5,0.5,stretch_fit,0.8986956375326277,1.0,train,0,1.0,0.5579254436111989
13,1318,0.375,0.375,0.8888888888888888,3,0,1.0986122886681098,1.2666666666666666,1,1,8,1,1,1,0,1,1,0,1,0,1,1,0.5824510981478567,1,0.75,0,1.0,0.5,0.5,stretch_fit,0.8836431469370678,1.0,train,0,1.0,0.5242173320370079
