mentee_id,mentor_id,skill_overlap_score,skill_coverage_score,subdomain_similarity,mentor_quality_score,mentor_weighted_rating,interaction_score_log,interaction_count_log,experience_gap_abs,mentor_more_experienced,experience_match_bucket,soft_gap_score,same_country,popularity_log,mentor_covers_all_skills,extra_skill_count,skill_match_type,mentor_follower_count_log,mentor_open_post_count_log,mentor_domain_match,cf_score,community_overlap,time_split,label,hardness_score
2,1331,0.23076923076923078,0.3333333333333333,0.3333333333333333,0.0,0.0,0.24141568686511503,1.0986122886681098,0,0,0,1.0,0,0.551495084075202,0,4,0,1.9459101490553132,0.0,1,0.15,0.0,train,1,0.0
2,4626,0.8,0.8888888888888888,1.0,0.0,0.0,0.0,0.0,1,1,2,0.5,0,0.0,0,1,1,2.772588722239781,0.0,1,0.14701566087241938,0.0,train,0,0.8266666666666667
2,2756,0.7777777777777778,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0,0,0,3.6375861597263857,0.0,1,0.1498085075586867,0.0,train,0,0.7833333333333334
2,5474,0.7777777777777778,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,1,1,2,0.5,0,0.3212791744612701,0,0,0,1.791759469228055,0.0,1,0.14699344529017458,0.0,train,0,0.7833333333333334
2,3015,0.75,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,1,1,2,0.5,0,0.0,1,3,2,2.0794415416798357,0.0,1,0.0,0.0,train,0,0.7708333333333333
2,3934,0.6923076923076923,1.0,0.6666666666666666,0.0,0.0,0.0,0.0,2,1,2,0.3333333333333333,0,0.47333095525481067,1,4,2,2.302585092994046,0.0,1,0.05644081182070921,0.0,train,0,0.7448717948717949
2,4977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,0.3333333333333333,0,0.3212791744612701,0,9,1,1.9459101490553132,0.0,1,0.14492031956331886,0.0,train,0,0.0
2,5165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,2,0.3333333333333333,0,0.0,0,7,0,1.9459101490553132,0.0,1,0.1446112267883138,0.0,train,0,0.0
2,1274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.9739352673646834,0,7,0,2.70805020110221,0.0,1,0.12160986878026589,0.0,train,0,0.0
2,1203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2,0.5,0,0.0,0,9,1,2.0794415416798357,0.0,0,0.0,0.0,train,0,0.0
3,4340,0.3333333333333333,0.4444444444444444,0.25,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.0,0,3,0,3.8918202981106265,0.0,1,0.14621413901182198,0.0,train,1,0.0
3,5493,0.2,0.3333333333333333,0.2,0.0,0.0,0.0,0.0,0,0,0,1.0,0,0.7167575359841292,0,6,1,3.332204510175204,0.0,1,0.12816029213088714,0.0,train,1,0.0
3,3039,0.5,0.7777777777777778,1.0,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0.0,0,5,2,2.3978952727983707,0.0,1,0.0,0.0,train,0,0.6583333333333334
3,1184,0.42857142857142855,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1,0,0,0.5,1,0.0,0,5,2,1.9459101490553132,0.0,1,0.0,0.0,train,0,0.5928571428571427
3,3579,0.4,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,0,0,0,1.0,0,1.0,0,6,2,2.833213344056216,0.0,1,0.13195187872409855,0.0,train,0,0.5800000000000001
3,4142,0.5384615384615384,0.7777777777777778,0.5,0.0,0.0,0.0,0.0,0,0,0,1.0,1,0.0,0,4,2,2.302585092994046,0.0,1,0.0,0.0,train,0,0.5756410256410256
3,4604,0.375,0.6666666666666666,1.0,0.0,0.0,0.0,0.0,1,0,0,0.5,0,0.0,0,7,2,2.0794415416798357,0.0,1,0.0,0.0,train,0,0.5687500000000001
3,2295,0.5,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,1,0,0,0.5,1,0.5540545386604853,0,3,1,2.772588722239781,0.0,1,0.13701223774793111,0.0,train,0,0.5583333333333333
